Num,DReferencia,Pulso,DMedida
1,5,3.11,0
2,5,3.04,0
3,5,3.05,0
4,5,3.05,0
5,5,3.05,0
6,10,2.05,12
7,10,2.18,11
8,10,2.04,12
9,10,2.05,12
10,10,2.12,11
11,20,1.21,22
12,20,1.21,22
13,20,1.23,22
14,20,1.37,19
15,20,1.27,21
16,30,0.94,30
17,30,0.76,39
18,30,0.82,36
19,30,0.88,33
20,30,0.88,33
21,40,0.71,43
22,40,0.74,41
23,40,0.71,43
24,40,0.70,43
25,40,0.76,40
26,50,0.65,47
27,50,0.66,47
28,50,0.63,50
29,50,0.65,48
30,50,0.73,42
31,60,0.60,53
32,60,0.57,56
33,60,0.58,55
34,60,0.54,59
35,60,0.58,55
36,70,0.41,83
37,70,0.48,69
38,70,0.50,66
39,70,0.44,77
40,70,0.60,53
41,80,0.41,83
42,80,0.54,59
43,80,0.58,55
44,80,0.56,58
45,80,0.60,53
46,5,3.06,0
47,5,3.05,0
48,5,3.25,0
49,5,3.08,0
50,5,3.06,0
51,10,2.23,10
52,10,2.23,10
53,10,2.24,10
54,10,2.24,10
55,10,2.23,10
56,20,1.35,19
57,20,1.33,20
58,20,1.33,20
59,20,1.35,19
60,20,1.35,19
61,30,0.89,33
62,30,0.88,33
63,30,0.89,33
64,30,0.89,32
65,30,0.91,31
66,40,0.74,41
67,40,0.73,41
68,40,0.75,40
69,40,0.76,40
70,40,0.69,44
71,50,0.62,51
72,50,0.65,48
73,50,0.75,40
74,50,0.65,48
75,50,0.50,66
76,60,0.54,60
77,60,0.56,58
78,60,0.56,58
79,60,0.52,63
80,60,0.52,63
81,70,0.50,65
82,70,0.50,66
83,70,0.47,71
84,70,0.52,63
85,70,0.52,63
86,80,0.46,73
87,80,0.40,0
88,80,0.40,0
89,80,0.40,0
90,80,0.45,75
