Num,DReferencia,Pulso,DMedida
1,5,271,4
2,5,265,4
3,5,265,4
4,5,271,4
5,5,271,4
6,10,618,10
7,10,624,10
8,10,593,10
9,10,624,10
10,10,618,10
11,20,1306,22
12,20,1300,22
13,20,1281,22
14,20,1281,22
15,20,1306,22
16,30,1788,30
17,30,1788,30
18,30,1816,31
19,30,1788,30
20,30,1822,31
21,40,2299,39
22,40,2323,39
23,40,2295,39
24,40,2301,39
25,40,2303,39
26,50,2913,50
27,50,2889,49
28,50,2896,49
29,50,2889,49
30,50,2886,49
31,60,3521,60
32,60,3518,60
33,60,3540,60
34,60,3512,60
35,60,3514,60
36,70,4021,69
37,70,4043,69
38,70,4043,69
39,70,4043,69
40,70,4068,69
41,80,4760,81
42,80,4708,80
43,80,4658,80
44,80,4634,79
45,80,4709,80
46,5,293,5
47,5,293,5
48,5,299,5
49,5,299,5
50,5,293,5
51,10,746,12
52,10,740,12
53,10,716,12
54,10,716,12
55,10,721,12
56,20,1258,21
57,20,1344,23
58,20,1415,24
59,20,1415,24
60,20,1121,19
61,30,1946,33
62,30,1971,33
63,30,1946,33
64,30,1946,33
65,30,2022,34
66,40,2401,40
67,40,2290,39
68,40,2327,39
69,40,2327,39
70,40,2552,43
71,50,3064,52
72,50,2965,50
73,50,2990,51
74,50,3015,51
75,50,3065,52
76,60,3558,61
77,60,3558,61
78,60,3558,61
79,60,3658,62
80,60,3565,61
81,70,4098,70
82,70,4098,70
83,70,4199,72
84,70,4142,71
85,70,4149,71
86,80,4851,83
87,80,4706,80
88,80,4811,82
89,80,4837,83
90,80,4808,82
