Numero;Dreferencia;Corriente;Dmedida
1;5;0;0
2;5;0;0
3;5;0;0
4;5;0;0
5;5;0;0
6;10;4300;14
7;10;4300;14
8;10;4310;14
9;10;4290;14
10;10;4300;14
11;20;6500;20
12;20;6470;20
13;20;6490;20
14;20;6520;21
15;20;6480;20
16;30;9150;30
17;30;9200;30
18;30;9190;30
19;30;9190;30
20;30;9170;30
21;40;1300;41
22;40;1320;41
23;40;1280;40
24;40;1330;41
25;40;1330;41
26;50;1510;50
27;50;1530;50
28;50;1470;50
29;50;1480;50
30;50;1500;50
31;60;1720;59
32;60;1760;59
33;60;1710;59
34;60;1700;59
35;60;1720;59
36;70;1950;68
37;70;1970;68
38;70;1930;67
39;70;1960;68
40;70;1950;68
41;80;0;0
42;80;0;0
43;80;0;0
44;80;0;0
45;80;0;0
46;5;0;0
47;5;0;0
48;5;0;0
49;5;0;0
50;5;0;0
51;10;5220;15
52;10;5200;15
53;10;5210;15
54;10;5200;15
55;10;5220;15
56;20;7800;25
57;20;7760;24
58;20;7700;25
59;20;7750;25
60;20;7700;25
61;30;9320;31
62;30;9290;31
63;30;9250;30
64;30;9270;31
65;30;9240;30
66;40;1230;42
67;40;1240;42
68;40;1230;42
69;40;1250;42
70;40;1240;42
71;50;1510;50
72;50;1500;50
73;50;1530;50
74;50;1520;50
75;50;1500;50
76;60;1780;62
77;60;1790;63
78;60;1780;63
79;60;1800;63
80;60;1790;63
81;70;2000;70
82;70;1990;70
83;70;1980;70
84;70;2000;70
85;70;1990;70
86;80;0;0
87;80;0;0
88;80;0;0
89;80;0;0
90;80;0;0
